2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   flag.target.basic.clip.extremes.enable = True
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   flag.target.basic.clip.extremes.clipminmax = [0.0, 1000.0]
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   flag.target.basic.clip.extremes.clipoutside = True
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   flag.target.basic.edges.enable = True
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   flag.target.rfimask.enable = True
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   flag.target.rfimask.uvrange = 0~1000
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   flag.target.rfimask.restore.enable = False
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   flag.target.rfimask.summary.enable = True
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   flag.target.rfi.enable = True
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   flag.target.rfi.column = DATA
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   flag.target.rfi.restore.enable = False
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   flag.target.rfi.summary.enable = True
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   flag.target.rfi.inspect.enable = False
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   flag.target.rfi.flagger = tricolour
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   flag.target.rfi.tfcrop.timecutoff = 4.0
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   flag.target.rfi.tfcrop.freqcutoff = 3.0
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   flag.target.rfi.tfcrop.correlation = 
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   flag.target.rfi.tfcrop.usewindowstats = std
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   flag.target.rfi.tfcrop.combinescans = False
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   flag.target.rfi.tfcrop.flagdimension = freqtime
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   flag.target.rfi.tricolour.window-backend = numpy
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   flag.target.rfi.tricolour.flagging-strategy = polarisation
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   flag.target.rfi.tricolour.config = gorbachev.yaml
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   flag.target.manual.enable = True
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   flag.target.manual.restore.enable = False
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   flag.target.manual.summary.enable = True
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   flag.target.manual.spw.enable = True
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   flag.target.manual.spw.spw = *:1200MHz~1230MHz,*:1280MHz~1300MHz,*:1560MHz~1610MHz
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   flag.target.manual.scan.enable = False
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   flag.target.manual.scan.scan = 22
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   flag.target.manual.field.enable = False
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   flag.target.manual.field.field = 
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   flag.target.manual.antenna.enable = False
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   flag.target.manual.antenna.antenna = m003
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   flag.target.manual.antenna.timerange = 
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   flag.target.manual.timerange.enable = False
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   flag.target.manual.timerange.timerange = YYYY/MM/DD/HH:MM:SS~YYYY/MM/DD/HH:MM:SS
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   flag.target.unflag.enable = False
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   flag.target.unflag.spw.enable = False
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   flag.target.unflag.scan.enable = False
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   flag.target.unflag.timerange.enable = False
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   flag.target.unflag.field.enable = False
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   flag.target.unflag.antenna.enable = False
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   flag.target.unflag.restore.enable = True
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   flag.target.inspect.enable = False
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   flag.target.inspect.rfinder.field = 0
